#{"t_start": 1686074279.231689, "env_id": null}
r,l,t
-5000048.0,10,0.129672
-5000202.0,41,0.28997
-5000113.0,23,0.376214
-5000121.0,25,0.469424
-5000132.0,27,0.572286
-5000113.0,23,0.657782
-5000094.0,19,0.801527
-5000120.0,25,0.956235
-5000295.0,60,1.203805
-5000156.0,32,1.36711
-5000120.0,25,1.476644
-5001370.0,275,2.446539
-5000106.0,22,2.525071
-5000461.0,93,2.846622
-5000121.0,25,2.931413
-5000125.0,26,3.018512
-5000119.0,24,3.105539
-5000113.0,23,3.18892
-5000104.0,21,3.266342
-5000108.0,22,3.34957
-5000112.0,23,3.434193
-5000097.0,20,3.504406
-5000108.0,22,3.586283
-5000107.0,22,3.669998
-5000085.0,18,3.730515
-5000208.0,42,3.877716
-5000144.0,29,3.989941
-5000263.0,53,4.17889
-5000111.0,23,4.257099
-5000117.0,24,4.340281
-5000605.0,122,4.821925
-5000124.0,25,4.908655
-5000125.0,26,4.995397
-5000110.0,23,5.072115
-5000441.0,89,5.373404
-5000105.0,22,5.447075
-5000126.0,26,5.535761
-5000172.0,35,5.653113
-5000092.0,19,5.717334
-5000109.0,22,5.790174
-5000088.0,18,5.84906
-5000108.0,22,5.921357
-5000111.0,23,5.999036
-5000110.0,23,6.078149
-5000166.0,34,6.19437
-5000593.0,119,6.586655
-5000088.0,18,6.646126
-5000193.0,39,6.777939
-5000126.0,26,6.863919
-5000123.0,25,6.950172
-5000663.0,133,7.397631
-5000169.0,34,7.513024
-5000150.0,31,7.938505
-5000123.0,25,8.065988
-5001705.0,342,9.272174
-5000120.0,25,9.362883
-5000561.0,113,9.739054
-5000102.0,21,9.811388
-5000119.0,24,9.893158
-5000097.0,20,10.019123
-5000318.0,64,10.229893
-5000107.0,22,10.305766
-5000111.0,23,10.382786
-5000124.0,25,10.469072
-5000134.0,27,10.561309
-5000205.0,42,10.696944
-5000096.0,20,10.762591
-5000102.0,21,10.833524
-5000144.0,29,10.932925
-5000191.0,39,11.065877
-5000128.0,26,11.153382
-5000106.0,22,11.225732
-5000111.0,23,11.304022
-5000119.0,24,11.385242
-5000093.0,19,11.448777
-5000114.0,23,11.525428
-5000134.0,27,11.618175
-5000142.0,29,11.714756
-5000293.0,59,11.912582
-5000082.0,17,11.970654
-5001040.0,209,12.688305
-5000376.0,76,12.934876
-5000103.0,21,13.006135
-5000120.0,25,13.090977
-5000085.0,18,13.154495
-5000162.0,33,13.267682
-5000094.0,19,13.47437
-5000089.0,18,13.559754
-5003468.0,694,16.162164
-5000121.0,25,16.253271
-5000116.0,24,16.341871
-5000239.0,48,16.507792
-5000094.0,19,16.578738
-5000098.0,20,16.649247
-5000110.0,23,16.726893
-5000238.0,48,16.890331
-5000122.0,25,16.972564
-5000136.0,28,17.062676
-5000123.0,25,17.148962
-5000088.0,18,17.209815
-5000139.0,28,17.308447
-5000120.0,25,17.394689
-5000204.0,41,17.538575
-5000091.0,19,17.604053
-5000141.0,29,17.701439
-5000121.0,25,17.798201
-5000129.0,26,17.910323
-5000095.0,20,17.985244
-5000110.0,23,18.067811
-5000133.0,27,18.170862
-5000109.0,22,18.261533
-5000095.0,20,18.366521
-5000836.0,168,19.012723
-5000155.0,32,19.139677
-5000127.0,26,19.305561
-5000882.0,177,19.974558
-5000128.0,26,20.065147
-5000167.0,34,20.201103
-5000114.0,23,20.287791
-5000134.0,27,20.385809
-5000103.0,21,20.456914
-5000115.0,24,20.533078
-5000181.0,37,20.679373
-5000123.0,25,20.772719
-5000109.0,22,20.856926
-5000078.0,16,20.913987
-5000096.0,20,20.983421
-5000114.0,23,21.062918
-5000100.0,21,21.145301
-5000105.0,22,21.220519
-5000125.0,26,21.319411
-5000114.0,23,21.403887
-5000116.0,24,21.489404
-5000172.0,35,21.612851
-5000464.0,93,21.939875
-5000091.0,19,22.010552
-5001437.0,288,23.267494
-5000105.0,22,23.343317
-5000106.0,22,23.420883
-5000102.0,21,23.494142
-5000096.0,20,23.567214
-5000123.0,25,23.657227
-5000092.0,19,23.733743
-5000210.0,43,23.916033
-5000190.0,39,24.067297
-5000111.0,23,24.147307
-5000100.0,21,24.223372
-5000108.0,22,24.302449
-5000130.0,27,24.395703
-5000131.0,27,24.492479
-5000104.0,21,24.566101
-5000114.0,23,24.647964
-5000255.0,52,24.828634
-5000115.0,24,24.930265
-5000151.0,31,25.066361
-5000098.0,20,25.169933
-5000115.0,24,25.345312
-5000104.0,21,25.462154
-5000097.0,20,25.560813
-5000267.0,54,25.781754
-5000397.0,80,26.115049
-5000122.0,25,26.219162
-5000125.0,26,26.349153
-5000127.0,26,26.456897
-5000115.0,24,26.548124
-5003176.0,636,28.940213
-5000172.0,35,29.056541
-5000102.0,21,29.129179
-5000166.0,34,29.256825
-5000097.0,20,29.335765
-5000100.0,21,29.41229
-5000111.0,23,29.502399
-5000105.0,22,29.584745
-5000126.0,26,29.683209
-5000094.0,19,29.766521
-5000118.0,24,29.873929
-5000225.0,46,30.052754
-5000130.0,27,30.154498
-5000118.0,24,30.267002
-5000112.0,23,30.366342
-5000137.0,28,30.498706
-5000111.0,23,30.612102
-5000108.0,22,30.727831
-5000130.0,27,30.843708
-5000129.0,26,30.968896
-5000093.0,19,31.058951
-5000132.0,27,31.166006
-5000149.0,30,31.603647
-5001024.0,205,32.549192
-5000066.0,14,32.621647
-5001241.0,249,33.64859
-5000347.0,70,33.929626
-5000086.0,18,34.000817
-5000121.0,25,34.10014
-5001193.0,239,35.25481
-5000123.0,25,35.373842
-5000094.0,19,35.47244
-5000446.0,90,35.91247
-5000128.0,26,36.010259
-5000158.0,32,36.127483
-5000122.0,25,36.225091
-5000100.0,21,36.305723
-5000111.0,23,36.398513
-5000117.0,24,36.501884
-5000122.0,25,36.596756
-5000143.0,29,36.697596
-5000116.0,24,36.792565
-5000168.0,34,36.948107
-5000100.0,21,37.119542
-5000116.0,24,37.22588
-5000187.0,38,37.401209
-5000121.0,25,37.517075
-5000122.0,25,37.622531
-5000220.0,45,37.805935
-5000113.0,23,37.885389
-5000085.0,18,37.947231
-5000261.0,53,38.23258
-5000146.0,30,38.392583
-5000155.0,32,38.54833
-5000105.0,22,38.640163
-5000105.0,22,38.744739
-5000101.0,21,38.83435
-5001863.0,373,40.183481
-5000144.0,29,40.299252
-5000282.0,57,40.780167
-5000134.0,27,40.877314
-5000183.0,37,41.010556
-5000658.0,132,41.471827
-5000102.0,21,41.551926
-5000114.0,23,41.644052
-5000111.0,23,41.722458
-5000119.0,24,41.80748
-5001655.0,332,42.928804
-5000075.0,16,42.985425
-5000116.0,24,43.070439
-5000078.0,16,43.125595
-5000204.0,41,43.262878
-5000117.0,24,43.359644
-5000092.0,19,43.425803
-5000205.0,42,43.56543
-5000136.0,28,43.65649
-5001773.0,355,44.85704
-5000125.0,26,44.953592
-5000106.0,22,45.032599
-5000093.0,19,45.105417
-5000101.0,21,45.19083
-5000084.0,17,45.261526
-5000127.0,26,45.362381
-5000147.0,30,45.476984
-5000117.0,24,45.57089
-5000141.0,29,45.685512
-5000114.0,23,45.790917
-5000278.0,56,45.997122
-5000163.0,33,46.117796
-5000139.0,28,46.241339
-5000124.0,25,46.341869
-5000165.0,34,46.479705
-5000102.0,21,46.558126
-5000115.0,24,46.658941
-5000117.0,24,46.754515
-5000118.0,24,46.845117
-5000167.0,34,46.97416
-5000096.0,20,47.06198
-5000126.0,26,47.163687
-5000156.0,32,47.276999
-5000140.0,29,47.376391
-5000109.0,22,47.451825
-5000068.0,14,47.499742
-5000197.0,40,47.638521
-5000117.0,24,47.734427
-5000134.0,27,47.880329
-5000121.0,25,48.122649
-5000083.0,17,48.207286
-5000289.0,58,48.775981
-5000109.0,22,48.869732
-5000090.0,19,48.946502
-5000093.0,19,49.0172
-5000103.0,21,49.09991
-5000465.0,94,49.470286
-5000107.0,22,49.548512
-5000077.0,16,49.606065
-5000142.0,29,49.707797
-5000099.0,20,49.779599
-5000123.0,25,49.862897
-5000109.0,22,50.016747
-5000109.0,22,50.199144
-5000097.0,20,50.318368
-5000130.0,27,50.521435
-5000176.0,36,50.71965
-5000101.0,21,50.824189
-5000132.0,27,50.939486
-5000122.0,25,51.043882
-5000098.0,20,51.129983
-5000154.0,31,51.252476
-5000081.0,17,51.337302
-5000119.0,24,51.489293
-5000275.0,56,51.73615
-5000117.0,24,51.841836
-5000105.0,22,51.929329
-5000100.0,21,52.013228
-5000117.0,24,52.113468
-5000114.0,23,52.215024
-5000122.0,25,52.32024
-5000101.0,21,52.406906
-5000093.0,19,52.48379
-5000083.0,17,52.557287
-5000192.0,39,52.70399
-5000123.0,25,52.803234
-5000114.0,23,52.89507
-5000105.0,22,53.023616
-5000329.0,66,53.355682
-5000065.0,14,53.422463
-5000065.0,14,53.492676
-5000055.0,12,53.576342
-5000119.0,24,53.74891
-5000113.0,23,53.892829
-5000140.0,29,54.066182
-5000271.0,55,54.369647
-5002136.0,428,56.433624
-5000119.0,24,56.550363
-5002153.0,431,58.502336
-5000160.0,33,58.644487
-5000080.0,17,58.713757
-5000130.0,27,58.829866
-5001186.0,238,59.78093
-5000285.0,58,59.989213
-5000112.0,23,60.069232
-5000108.0,22,60.144406
-5000083.0,17,60.204223
-5000105.0,22,60.286142
-5000116.0,24,60.370141
-5000165.0,34,60.486722
-5000129.0,26,60.577163
-5000139.0,28,60.678383
-5000099.0,20,60.753942
-5000128.0,26,60.856235
-5000126.0,26,60.956212
-5000121.0,25,61.051998
-5000119.0,24,61.142
-5000153.0,31,61.252314
-5000557.0,112,61.666506
-5000112.0,23,61.747134
-5000122.0,25,61.847152
-5000130.0,27,61.972339
-5000120.0,25,62.070172
-5000404.0,81,62.438629
-5000134.0,27,62.546604
-5000120.0,25,62.642492
-5000099.0,20,62.715065
-5000153.0,31,62.829928
-5000116.0,24,62.91997
-5000075.0,16,62.975227
-5000134.0,27,63.071282
-5000115.0,24,63.152329
-5000172.0,35,63.277048
-5001861.0,373,64.561216
-5000113.0,23,64.637733
-5000129.0,26,64.725712
-5000165.0,34,64.84171
-5000123.0,25,64.928982
-5000519.0,104,65.458918
-5000155.0,32,65.622958
-5000115.0,24,65.704822
-5000125.0,26,65.799417
-5000107.0,22,65.875515
-5000106.0,22,65.950949
-5000845.0,170,66.748455
-5000098.0,20,66.816566
-5000141.0,29,66.914596
-5000113.0,23,66.997136
-5000119.0,24,67.08151
-5000140.0,29,67.191059
-5000395.0,80,67.486452
-5000104.0,21,67.561416
-5000110.0,23,67.644976
-5000402.0,81,67.93653
-5000106.0,22,68.022565
-5000086.0,18,68.087421
-5000101.0,21,68.160988
-5000123.0,25,68.268169
-5000118.0,24,68.536126
-5000116.0,24,68.681369
-5000273.0,55,68.945254
-5000110.0,23,69.043275
-5000107.0,22,69.137372
-5000107.0,22,69.233275
-5000141.0,29,69.42071
-5000096.0,20,69.51823
-5000494.0,99,69.909719
-5002016.0,404,71.576678
-5003490.0,699,74.524946
-5000151.0,31,74.637331
-5000147.0,30,74.74121
-5000114.0,23,75.0433
-5000244.0,49,75.21714
-5000107.0,22,75.302884
-5000126.0,26,75.400006
-5000118.0,24,75.4856
-5000181.0,37,75.609282
-5000097.0,20,75.678852
-5000127.0,26,75.768241
-5000089.0,18,75.830542
-5000170.0,35,75.968022
-5000211.0,43,76.122152
-5000355.0,72,76.374999
-5000125.0,26,76.461974
-5000198.0,40,76.600042
-5000354.0,71,76.842296
-5000118.0,24,76.92426
-5000115.0,24,77.005943
-5000313.0,63,77.219336
-5000084.0,17,77.279106
-5001251.0,251,78.133856
-5001239.0,248,78.970981
-5000084.0,17,79.029681
-5000138.0,28,79.127557
-5000129.0,26,79.228248
-5000109.0,22,79.313456
-5000220.0,45,79.478109
-5000171.0,35,79.598172
-5000101.0,21,79.668095
-5000120.0,25,79.752578
-5000111.0,23,79.832231
-5000338.0,68,80.061919
-5000142.0,29,80.160187
-5000094.0,19,80.22636
-5000327.0,66,80.451652
-5000122.0,25,80.537324
-5000116.0,24,80.618375
-5001204.0,241,81.444822
-5000093.0,19,81.508006
-5000115.0,24,81.59061
-5000518.0,104,81.950544
-5000113.0,23,82.027555
-5000126.0,26,82.341278
-5000109.0,22,82.416622
-5000491.0,99,82.755117
-5000098.0,20,82.827131
-5000090.0,19,82.892852
-5000094.0,19,82.958427
-5000130.0,27,83.047074
-5000112.0,23,83.125083
-5000116.0,24,83.212113
-5000093.0,19,83.290169
-5000099.0,20,83.35688
-5002053.0,411,84.758549
-5000105.0,22,84.831086
-5000114.0,23,84.911124
-5000134.0,27,85.001386
-5000116.0,24,85.080203
-5002189.0,438,86.546827
-5000138.0,28,86.641074
-5000118.0,24,86.724308
-5000119.0,24,86.805655
-5000213.0,43,86.949112
-5000106.0,22,87.023349
-5000119.0,24,87.106467
-5000091.0,19,87.170867
-5000116.0,24,87.253834
-5000112.0,23,87.33212
-5000114.0,23,87.410564
-5000090.0,19,87.472993
-5000069.0,14,87.521204
-5000246.0,50,87.686517
-5000344.0,69,87.917548
-5000120.0,25,88.001431
-5000110.0,23,88.079563
-5000125.0,26,88.172589
-5000103.0,21,88.245207
-5000186.0,38,88.371707
-5000090.0,19,88.434681
-5000115.0,24,88.520458
-5000125.0,26,88.609426
-5000131.0,27,88.701327
-5000127.0,26,88.791119
-5000130.0,27,88.883794
-5000120.0,25,88.969498
-5000100.0,21,89.041437
-5000100.0,21,89.112124
-5000124.0,25,89.196825
-5000127.0,26,89.287102
-5000099.0,20,89.583434
-5000232.0,47,89.744045
-5000115.0,24,89.823018
-5000134.0,27,89.914651
-5000085.0,18,89.976587
-5000857.0,172,90.605628
-5001384.0,277,91.6413
-5000103.0,21,91.714659
-5002045.0,410,93.13032
-5000166.0,34,93.249766
-5000137.0,28,93.346807
-5000197.0,40,93.485435
-5000106.0,22,93.559606
-5000110.0,23,93.637535
-5000090.0,19,93.703136
-5000130.0,27,93.794807
-5000517.0,104,94.141874
-5000112.0,23,94.223444
-5000116.0,24,94.307098
-5000094.0,19,94.376254
-5000095.0,20,94.443688
-5000130.0,27,94.537897
-5000086.0,18,94.600658
-5000109.0,22,94.682228
-5000095.0,20,94.75225
-5000092.0,19,94.815425
-5000079.0,16,94.872601
-5001679.0,336,96.003494
-5000091.0,19,96.07105
-5000099.0,20,96.137308
-5000937.0,188,96.99108
-5000113.0,23,97.070526
-5000127.0,26,97.158941
-5000105.0,22,97.23416
-5000142.0,29,97.338843
-5000145.0,30,97.441815
-5000387.0,78,97.710486
-5000090.0,19,97.786293
-5000106.0,22,97.868015
-5000096.0,20,97.936363
-5000760.0,153,98.459214
-5000127.0,26,98.551298
-5000072.0,15,98.603043
-5000120.0,25,98.760771
-5000092.0,19,98.853273
-5000111.0,23,98.928621
-5000114.0,23,99.009287
-5000130.0,27,99.099767
-5000127.0,26,99.18845
-5000118.0,24,99.269837
-5000108.0,22,99.344364
-5000111.0,23,99.423418
-5000104.0,21,99.497094
-5000154.0,31,99.604481
-5000677.0,136,100.057327
-5000133.0,27,100.147775
-5000110.0,23,100.226045
-5000693.0,139,100.693182
-5000427.0,86,100.981617
-5000234.0,47,101.137186
-5000113.0,23,101.214573
-5000101.0,21,101.287948
-5000136.0,28,101.38273
-5000131.0,27,101.474357
-5000123.0,25,101.560727
-5000111.0,23,101.638375
-5000178.0,36,101.759803
-5000116.0,24,101.841601
-5000121.0,25,101.926291
-5000757.0,152,102.432912
-5000126.0,26,102.521675
-5000127.0,26,102.609652
-5000126.0,26,102.697031
-5000128.0,26,102.786533
-5000478.0,96,103.106488
-5000144.0,29,103.203632
-5000094.0,19,103.270431
-5000109.0,22,103.355481
-5000119.0,24,103.440013
-5000106.0,22,103.518616
-5000161.0,33,103.630423
-5000107.0,22,103.703542
-5000571.0,115,104.314991
-5000098.0,20,104.384531
-5000655.0,132,104.823132
-5000131.0,27,104.912285
-5000081.0,17,104.971211
-5000119.0,24,105.062669
-5000126.0,26,105.161341
-5000337.0,68,105.404799
-5000075.0,16,105.461896
-5000110.0,23,105.540795
-5000104.0,21,105.614707
-5000292.0,59,105.813788
-5000333.0,67,106.038958
-5000126.0,26,106.126581
-5000109.0,22,106.203152
-5000187.0,38,106.332691
-5000106.0,22,106.405583
-5000120.0,25,106.488773
-5000064.0,13,106.533569
-5000170.0,35,106.651736
-5000102.0,21,106.724595
-5000495.0,100,107.090915
-5000132.0,27,107.185197
-5000140.0,29,107.282846
-5000106.0,22,107.355214
-5000136.0,28,107.448473
-5000100.0,21,107.517693
-5000150.0,31,107.621636
-5000096.0,20,107.690203
-5000126.0,26,107.778451
-5000209.0,42,107.92011
-5000146.0,30,108.024079
-5000100.0,21,108.093206
-5000133.0,27,108.185787
-5000120.0,25,108.269569
-5000113.0,23,108.348045
-5000127.0,26,108.43547
-5000119.0,24,108.519531
-5000082.0,17,108.578392
-5000121.0,25,108.663031
-5000128.0,26,108.748628
-5000117.0,24,108.829175
-5000121.0,25,108.913545
-5001064.0,213,109.637989
-5000107.0,22,109.711806
-5000120.0,25,109.797388
-5000097.0,20,109.864165
-5000106.0,22,109.938594
-5000157.0,32,110.044363
-5000092.0,19,110.110594
-5000128.0,26,110.202007
-5000123.0,25,110.291661
-5000079.0,16,110.351009
-5000132.0,27,110.444418
-5000106.0,22,110.520356
-5000230.0,47,110.679135
-5000148.0,30,110.781594
-5000136.0,28,110.874423
-5000104.0,21,110.944791
-5003024.0,605,113.22434
-5000186.0,38,113.355858
-5000123.0,25,113.443015
-5000140.0,29,113.537744
-5000125.0,26,113.625773
-5000110.0,23,113.704304
-5000146.0,30,113.806651
-5000124.0,25,113.890708
-5000207.0,42,114.031937
-5000101.0,21,114.103388
-5000087.0,18,114.165122
-5000378.0,76,114.421317
-5000099.0,20,114.4886
-5001378.0,276,115.428617
-5000107.0,22,115.508793
-5000330.0,67,115.739692
-5000111.0,23,115.81855
-5000074.0,15,115.869802
-5000183.0,37,115.99326
-5000094.0,19,116.05915
-5000393.0,79,116.323207
-5000107.0,22,116.398405
-5000652.0,131,116.83748
-5000094.0,19,116.902572
-5000135.0,28,116.997163
-5000129.0,26,117.085754
-5000122.0,25,117.169203
-5000481.0,97,117.497213
-5000132.0,27,117.588359
-5000090.0,19,117.653057
-5000106.0,22,117.728553
-5000097.0,20,117.794655
-5000143.0,29,117.892936
-5000134.0,27,117.983716
-5000102.0,21,118.053597
-5000128.0,26,118.207078
-5000143.0,29,118.317672
-5000131.0,27,118.408079
-5000105.0,22,118.711268
-5000108.0,22,118.78887
-5000129.0,26,118.933412
-5000129.0,26,119.027857
-5000093.0,19,119.092605
-5000075.0,16,119.14607
-5000173.0,35,119.26718
-5000129.0,26,119.354003
-5000107.0,22,119.429213
-5000200.0,41,119.582366
-5000073.0,15,119.68476
-5000085.0,18,119.751737
-5000074.0,15,119.803177
-5000161.0,33,119.916151
-5000133.0,27,120.010238
-5000120.0,25,120.092521
-5000113.0,23,120.170623
-5000132.0,27,120.261823
-5000189.0,38,120.388781
-5000103.0,21,120.470889
-5000577.0,116,120.867384
-5000166.0,34,120.980176
-5000122.0,25,121.061657
-5000245.0,50,121.22731
-5000130.0,27,121.317752
-5004894.0,979,124.72992
-5000770.0,155,125.25432
-5000118.0,24,125.340352
-5000263.0,53,125.52194
-5000681.0,137,126.188521
-5000146.0,30,126.288328
-5000400.0,81,126.55664
-5000092.0,19,126.620609
-5000094.0,19,126.684539
-5000080.0,17,126.743785
-5000133.0,27,126.841228
-5000115.0,24,126.937289
-5000135.0,28,127.053762
